;;;;;;;;;;;;;;;;;;;;
State Approved Textbook List 2007;;;;;;;;;;;;;;;;;;;;
3/25/2008;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
DistrictName;;;;SubjectDesc;;ISBN10;;Title;;;;;;Author;;;Publisher;;;PublicationYear
Barrington;;;;English/Lang;;0321010337;;Call to Write (The);;;;;;Trimbur;;;Longman;;;98
Barrington;;;;English/Lang;;066947602;;Daily Oral Language Plus;;;;;;;;Great Source;;;00;
Barrington;;;;English/Lang;;0669464430;;Day Book & Critical Reading & Writing;;;;;;Claggett;;;Great Source;;;99
Barrington;;;;English/Lang;;032807237X;;Grammar and Writing Handbook - Gr. 1;;;;;;Pearson;;;Foresman;;;04
Barrington;;;;English/Lang;;0328075388;;Grammar and Writing Handbook - Gr. 2;;;;;;Peasrib;;;Foresman;;;04
Barrington;;;;English/Lang;;0328075396;;Grammar and Writing Handbook - Gr. 3;;;;;;Pearson;;;Foresman;;;04
Barrington;;;;English/Lang;;0321245512;;Literature: An Intruduction to Fiction, Poetry ;;;;;;Kennedy;;;Pearson/Longman;;;05
Barrington;;;;English/Lang;;0135592461;;Mass Communications;;;;;;Bittner;;;PRENTICE HALL;;;89
Barrington;;;;English/Lang;;007052940X;;Mass Media and Popular Arts;;;;;;Rissover;;;MCGRAW HILL;;;83
Barrington;;;;English/Lang;;0328040428;;My Read, Write and Listen Practice Book 1.1;;;;;;Pearson;;;Foresman;;;04
Barrington;;;;English/Lang;;032804041X;;My Read, Write, and Listen Practice Book ;;;;;;Pearson;;;Foresman;;;04
Barrington;;;;English/Lang;;0013131713;;Prentice Hall Literature;;;;;;Feldman;;;PRENTICE HALL;;;07
Barrington;;;;English/Lang;;0328039411;;Student Edition Pkg. - Gr. 2 Reading;;;;;;Pearson;;;Foresman;;;04
Barrington;;;;English/Lang;;032803942X;;Student Edition Pkg. - Gr. 3 Reading;;;;;;Pearson;;;Foresman;;;04
Barrington;;;;English/Lang;;0328039284;;Student Edition Pkg. Volume 1.2 Reading;;;;;;Pearson;;;Foresman;;;04
Barrington;;;;English/Lang;;0328039292;;Student Edition Pkg. Volume 1.3 Reading;;;;;;Pearson;;;Foresman;;;04
Barrington;;;;English/Lang;;0328039306;;Student Edition Pkg. Volume 1.4 Reading;;;;;;Pearson;;;Foresman;;;04
Barrington;;;;English/Lang;;0328039314;;Student Edition Pkg. Volume 1.5 Reading;;;;;;Pearson;;;Foresman;;;04
Barrington;;;;English/Lang;;0328039322;;"Student Edition Pkg;. Volume 1.6 Reading";;;;;;Pearson;;;Foresman;;;04
Barrington;;;;English/Lang;;0153118822;;Warriners (Third course);;;;;;Warriner;;;Harcourt;;;82
Barrington;;;;English/Lang;;0131317172;;Literature;;;;;;Kinsella;;;PRENTICE HALL;;;07
Barrington;;;;English/Lang;;0131317199;;The American Experience;;;;;;Kinsella;;;PRENTICE HALL;;;07
Barrington;;;;English/Lang;;0131317202;;The British Tradition;;;;;;Kinsella;;;PRENTICE HALL;;;07
Barrington;;;;English/Lang;;0131317377;;World Masterpieces;;;;;;Kinsella;;;PRENTICE HALL;;;07
Barrington;;;;English/Lang;;013131713X;;Prentice Hall Litrature Penguin SE 6 TXT C;;;;;;;;Prentice Hall;;;2007;
Barrington;;;;English/Lang;;131317148;;Prentice Hall Literature Penguin SE 7 TXT C;;;;;;;;Prentice Hall;;;2007;
Barrington;;;;English/Lang;;131317164;;Prentice Hall Literature Penguin SE 8 TXT C;;;;;;;;Prentice Hall;;;2007;
Barrington;;;;Foreign ;;0819601063;;A Day in Old Rome;;;;;;DAVIS;;;Biblio-Moser;;;60
Barrington;;;;Foreign ;;0669173797;;Album (Spanish) 2nd Edition;;;;;;Vallette;;;McDougal Littell;;;93
Barrington;;;;Foreign ;;0168507183;;Album 3rd Edition;;;;;;Valette;;;Houghton Mifflin;;;05
Barrington;;;;Foreign ;;0131660942;;AP Spanish 3rd Ed.;;;;;;Diaz;;;Prentice Hall;;;07
Barrington;;;;Foreign ;;0078656303;;Bon Voyage, Level 1;;;;;;SCHMITT;;;GLENCOE;;;05
Barrington;;;;Foreign ;;0078656605;;Bon Voyage, Level 2;;;;;;SCHMITT;;;GLENCOE;;;05
Barrington;;;;Foreign ;;0618012419;;Bonne Forme;;;;;;Dietiker;;;Houghton Mifflin;;;01
Barrington;;;;Foreign ;;0865162751;;Catullus: AP Placement Edition (Latin);;;;;;Bender, Forsyth;;;Bolchazy-Carducci;;;96
Barrington;;;;Foreign ;;0070138869;;French Vocabulary 2nd Ed.;;;;;;Crocker;;;McGraw Hill;;;98
Barrington;;;;Foreign ;;0865164169;;Horace: Selected Odes (Latin);;;;;;Ancona;;;Bolchazy-Carducci;;;97
Barrington;;;;Foreign ;;0026409143;;LATIN FOR AMERICANS BOOK 3;;;;;;ULLMAN;;;GLENCOE;;;97
Barrington;;;;Foreign ;;0026409135;;Latin For Americans, Book 2;;;;;;ULLMAN;;;Glencoe;;;97
Barrington;;;;Foreign ;;0395240050;;LE PETIT PRINCE;;;;;;DESAINT;;;HOUGHTON;;;70
Barrington;;;;Foreign ;;0135300312;;Lepont neuf;;;;;;Stack;;;PRENTICE HALL;;;91
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Page 1 of 141;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
DistrictName;;;;SubjectDesc;;ISBN10;;Title;;;;;;Author;;;Publisher;;;PublicationYear
Barrington;;;;Foreign ;;0838450989;;Mannual de gramatica 3rd Edition;;;;;;Dozier;;;Thomson Heinle;;;03
Barrington;;;;Foreign ;;0838498329;;Manual de gramatica 2nd Edition;;;;;;Dozier;;;Heinle & Heinle;;;99
Barrington;;;;Foreign ;;066921521X;;Moments litteraires;;;;;;Hirsch;;;McDougal;;;92
Barrington;;;;Foreign ;;0195215508;;Oxford Latin Course, Part 1;;;;;;Ullman;;;Oxford Univ. Press;;;96
Barrington;;;;Foreign ;;0195215516;;Oxford Latin Course, Part 2;;;;;;Ullman;;;Oxford Univ. Press;;;96
Barrington;;;;Foreign ;;080131190X;;Pa Tout Lemonde franacophone;;;;;;Herbst;;;Longman;;;96
Barrington;;;;Foreign ;;0030722365;;Perspectivas (Spanish) 5th Edition;;;;;;Kiddle, Wegman;;;Delta Systems;;;93
Barrington;;;;Foreign ;;0030339588;;Perspectivas 7th Edition;;;;;;Kiddle, Wegmann;;;Thomson Heinle;;;02
Barrington;;;;Foreign ;;0131016783;;Realidades, Level 1;;;;;;Boyles;;;PRENTICE HALL;;;04
Barrington;;;;Foreign ;;0130359513;;Realidades, Level 2;;;;;;Boyles;;;PRENTICE HALL;;;04
Barrington;;;;Foreign ;;0130359688;;Realidades, Level 3;;;;;;Boyles;;;PRENTICE HALL;;;04
Barrington;;;;Foreign ;;0130359661;;Realidades, Level A;;;;;;Boyles;;;PRENTICE HALL;;;04
Barrington;;;;Foreign ;;013035967X;;Realidades, Level B;;;;;;Boyles;;;PRENTICE HALL;;;04
